       TASK-COUNT,            LOCK,       READ-LOCK,     READ-UNLOCK,      SYSCALL-IN,     SYSCALL-OUT,          UNLOCK
               2,          0.1384,         0.53848,         0.06211,         3.70392,         8.80697,         0.06214
               4,         0.14506,         0.47369,          0.0621,         3.18246,         6.82131,         0.06213
               6,         0.08174,         0.45971,          0.0621,          2.8336,         6.31049,         0.06212
               8,         0.08496,         0.47502,         0.06209,         2.73304,        20.91474,         0.06211
              10,         0.09113,         0.48268,         0.06269,         2.58052,        77.61109,         0.06209
              12,         0.17603,         0.48421,         0.08559,          2.4247,       140.99054,          0.0623
              14,         0.17747,         0.47695,         0.08064,         2.28196,       178.77589,          0.0623
              16,         0.20195,         0.48381,         0.11853,         2.15314,        244.6085,         0.06631
              18,         0.23352,         0.48954,         0.12895,         2.05774,          298.66,         0.10147
              20,         0.24854,         0.49222,         0.13417,         1.91271,       351.92975,         0.12259
              22,         0.25789,         0.49197,         0.13897,         1.83359,       405.82531,         0.12745
              24,         0.26659,         0.49396,         0.14277,         1.79118,       448.10951,         0.13065
              26,         0.26749,         0.49041,         0.14375,         1.71109,       508.09325,         0.13336
              28,         0.27218,         0.49092,         0.14439,         1.69352,        536.4658,         0.13495
              30,         0.28046,          0.4939,         0.14844,         1.66184,       576.92379,         0.13821
              32,         0.30073,         0.50478,         0.16025,         1.61638,       571.77327,         0.14682
              34,         0.30251,         0.50457,         0.16137,         1.62052,       598.64906,          0.1477
              36,         0.30383,         0.50494,         0.16103,         1.60655,       636.22497,          0.1476
              38,         0.30507,         0.50418,         0.16117,         1.58808,       661.08658,         0.14781
              40,         0.31318,         0.50753,         0.16675,         1.56768,       658.96721,         0.14992
